"number","fleet","headway.min","planned.buses","headway","ewt.v","simulation.fitness","ewt.a","headway.max","buses","headway.observed","hcv","line"
331,50,180,43,610.231485099641,2991.48483648604,-298.702747791684,72.9918030463967,1200,1,630.718163634972,0.511737063707784,"T31s"
332,50,180,43,409.890707620146,2892.89858868039,-288.872405113473,68.8291408132535,1200,17,422.961058230279,0.608973882298624,"T31s"
333,50,180,43,319.164842248764,3150.13020376649,-314.54195334925,61.8736302708626,1200,17,328.207596003032,0.653399496318871,"T31s"
334,50,180,43,610.231485099641,2769.87028448373,-276.684248290806,75.21741575172,1200,17,631.459169797682,0.507956122681477,"T31s"
335,50,180,43,610.231485099641,5126.4728723038,-512.348489172669,85.2424519160484,1200,17,626.07504060413,0.546031682227656,"T31s"
336,50,180,43,319.164842248764,3540.97652518612,-353.539723567983,69.8604374592489,1200,5,330.958246171029,0.680158822050329,"T31s"
337,50,180,43,319.164842248764,1841.14244854774,-183.639219428962,56.4413113640578,1200,17,328.993918969822,0.627297812659046,"T31s"
338,50,180,43,409.890707620146,2301.67296684087,-229.604832181665,62.8941388878019,1200,1,424.113376537958,0.593431766250128,"T31s"
339,50,180,43,409.890707620146,2742.5313033292,-273.837047956854,68.8804145477135,1200,17,422.252672782128,0.626683728066624,"T31s"
340,50,180,43,573.95251840939,2587.30882795236,-258.313797865708,73.96005099825,1200,5,593.781080082815,0.528916984524483,"T31s"
341,50,180,43,409.890707620146,3362.22741937885,-335.664242301742,70.0898230693155,1200,1,422.50934281481,0.618530307591587,"T31s"
342,50,180,43,319.164842248764,2385.48424228649,-238.072126296977,55.8453695987904,1200,17,328.290578911672,0.620696521078979,"T31s"
343,50,180,43,409.890707620146,4030.21577024788,-402.610426025229,73.1337856447223,1200,17,425.288111483402,0.643964067707062,"T31s"
344,50,180,43,610.231485099641,3389.44666753259,-338.553718240662,81.579152899662,1200,5,632.246517849625,0.538616866528866,"T31s"
345,50,180,43,319.164842248764,2128.65287890891,-212.395826716877,60.6935883372922,1200,17,330.244835246825,0.661407743026566,"T31s"
346,50,180,43,319.164842248764,2291.66055231937,-228.698156466421,61.7422443984604,1200,17,331.666444174717,0.665173902350351,"T31s"
347,50,180,43,319.164842248764,2985.99799818741,-298.131828341175,63.7524433318163,1200,17,330.878850814063,0.662379020852662,"T31s"
348,50,180,43,409.890707620146,4270.19514370593,-426.605224821235,74.6217411479577,1200,17,421.855204236767,0.627812290080272,"T31s"
349,50,180,43,573.95251840939,2631.64006230528,-262.841081237496,73.2987688204668,1200,17,592.964509357503,0.539342436858412,"T31s"
350,50,180,43,319.164842248764,2275.22033204326,-227.051461595369,60.9981093942267,1200,17,329.105794489348,0.655988563161419,"T31s"
351,50,180,43,610.231485099641,3798.74990131327,-379.572924264887,77.1469558902718,1200,17,629.805040677445,0.518397404784907,"T31s"
352,50,180,43,409.890707620146,2552.32073929126,-254.811866936348,64.389894786773,1200,17,421.949734410237,0.602187950576787,"T31s"
353,50,180,43,319.164842248764,2010.00814697692,-200.434262418616,56.753915188118,1200,5,329.485078689363,0.64627963621921,"T31s"
354,50,180,43,610.231485099641,1750.73521127307,-174.761876228653,64.3981197088449,1200,17,627.019358121272,0.481489571231474,"T31s"
355,50,180,43,610.231485099641,2016.02509924444,-201.295503564482,67.6252914266894,1200,17,631.829871749965,0.488820580087643,"T31s"
356,50,180,43,409.890707620146,2079.63340106055,-207.398853815015,62.7207362634966,1200,1,422.211864159342,0.584977255757968,"T31s"
357,50,180,43,409.890707620146,3052.60264977888,-304.839471583244,66.355708637362,1200,17,423.238184290769,0.582192102141401,"T31s"
